,seriesCode,sdg,2020,2021,2022,2023,2024,seriesName,bestBound,worstBound,instrumental,invert,color
0,gci11_Lonline,11,0.570613333,1.141226667,1.71184,2.282453333,2.853066667,Laws on unauthorized online behavior ,3.42368,0,1,0,#A21942
1,gci11_Lforgery,11,0.467598367,0.935196735,1.402795102,1.870393469,2.337991837,legislation in force related to computer-related forgery (piracy/copyright infringements) ,2.805590204,0,1,0,#A21942
2,gci11_Lolsafety,11,0.529407347,1.058814694,1.588222041,2.117629388,2.647036735,Laws on online safety ,3.176444082,0,1,0,#A21942
3,gci12_Rpdp,12,0.27141551,0.54283102,0.814246531,1.085662041,1.357077551,Regulation(s) related to personal data protection ,1.628493061,0,1,0,#FF3A21
4,gci12_Rprivacy,12,0.19725551,0.39451102,0.591766531,0.789022041,0.986277551,Regulation(s) related to privacy protection ,1.183533061,0,1,0,#FF3A21
5,gci12_Rnotif,12,0.191706123,0.383412245,0.575118368,0.76682449,0.958530613,Regulation(s) related to data breach/incident notification applying to private sector actors ,1.150236735,0,1,0,#FF3A21
6,gci12_RAuditre,12,0.176066939,0.352133878,0.528200817,0.704267755,0.880334694,"Regulation(s) related to cybersecurity audit requirements applying to national government agencies, departments, or their contractors ",1.056401633,0,1,0,#FF3A21
7,gci12_Rstandard,12,0.160427755,0.32085551,0.481283266,0.641711021,0.802138776,Regulation(s) related to cybersecurity standards applying to national public sector actors ,0.962566531,0,1,0,#FF3A21
8,gci12_Rsign,12,0.180102857,0.360205714,0.540308572,0.720411429,0.900514286,Regulation(s) related to use of digital signatures and e-transactions in government services and applications (e-govt),1.080617143,0,1,0,#FF3A21
9,gci12_Rspam,12,0.136716735,0.273433469,0.410150204,0.546866939,0.683583673,"Regulation(s) related to unsolicited communication, also known as spam ",0.820300408,0,1,0,#FF3A21
10,gci12_Rciip,12,0.262334694,0.524669388,0.787004082,1.049338775,1.311673469,Regulation(s) related to identifying and protecting national critical infrastructures ,1.574008163,0,1,0,#FF3A21
11,gci12_Rcop,12,0.189688163,0.379376327,0.56906449,0.758752653,0.948440817,Regulation(s) related to Child Online Protection ,1.13812898,0,0,0,#FF3A21
12,gci21_NatCsirt,21,0.463828775,0.927657551,1.391486326,1.855315101,2.319143877,Fully operational National/Government CIRT/CSIRT/CERT or SOC ,2.782972652,0,1,0,#FD9D24
13,gci21_Nactivity,21,0.430049941,0.860099881,1.290149822,1.720199762,2.150249703,National CIRT/CSIRT/CERT or SOC activities ,2.580299643,0,1,0,#FD9D24
14,gci21_Nfirst,21,0.297959572,0.595919144,0.893878716,1.191838288,1.48979786,National/Government CIRT/CSIRT/CERT or SOC affiliated with FIRST and/or listed by TF-CSIRT ,1.787757432,0,0,0,#FD9D24
15,gci21_NregCisrt,21,0.270230678,0.540461356,0.810692034,1.080922711,1.351153389,"National/Government CIRT/CSIRT/CERT or SOC affiliated with a regional CIRT (such as APCERT, PACSON, AFRICA CERT, ENSIA, OIC, OAS)? ",1.621384067,0,0,0,#FD9D24
16,gci22_Scsirt,22,0.453596644,0.907193288,1.360789932,1.814386575,2.267983219,Sectoral CIRTs/CSIRTs/CERTs or SOCs ,2.721579863,0,1,0,#E5243B
17,gci22_Sactivity,22,0.330471825,0.660943651,0.991415476,1.321887301,1.652359127,Sectoral CIRTs/CSIRTs/CERTs or SOC Activities ,1.982830952,0,1,0,#E5243B
18,gci23_FStandard,23,0.59204677,1.184093539,1.776140309,2.368187079,2.960233848,Framework for the implementation/adoption of nationally or internationally recognized cybersecurity standards ,3.552280618,0,1,0,#DDA63A
19,gci23_Fciip,23,0.495309552,0.990619104,1.485928657,1.981238209,2.476547761,Framework for implementation/adoption of nationally or internationally recognized cybersecurity standards address critical infrastructure ,2.971857313,0,1,0,#DDA63A
20,gci31_Nstrategy,31,0.632022893,1.264045786,1.896068679,2.528091571,3.160114464,National Cybersecurity Strategy (NCS) or policy ,3.792137357,0,1,0,#4C9F38
21,gci31_Npriority,31,0.558299688,1.116599376,1.674899064,2.233198751,2.791498439,National Cybersecurity Strategy Priorities ,3.349798127,0,1,0,#4C9F38
22,gci32_Acyber,32,0.333533472,0.667066944,1.000600416,1.334133888,1.66766736,Agency or ministry with the responsibility for cybersecurity at the national level ,2.001200832,0,1,0,#C5192D
23,gci32_Aciip,32,0.269074575,0.53814915,0.807223726,1.076298301,1.345372876,Agency or ministry with the responsibility for cybersecurity related to National Critical Infrastructure Protection? ,1.614447451,0,1,0,#C5192D
24,gci32_Acapacity,32,0.211557406,0.423114811,0.634672217,0.846229622,1.057787028,"Agency, ministry, task force, or other body with the responsibility for overseeing national cybersecurity capacity development ",1.269344433,0,1,0,#C5192D
25,gci32_Acop,32,0.21056573,0.42113146,0.631697191,0.842262921,1.052828651,"Coordination of Child Online Protection initiatives and activities within the responsibility of any agency, ministry, task force, or other body? ",1.263394381,0,0,0,#C5192D
26,gci33_Maudit,33,0.219730489,0.439460978,0.659191467,0.878921956,1.098652445,Cybersecurity audits performed at a national level ,1.318382934,0,1,0,#26BDE2
27,gci33_Mrisk,33,0.178289282,0.356578564,0.534867846,0.713157128,0.89144641,Metrics/tools for assessing cybersecurity risks at a national level ,1.069735692,0,1,0,#26BDE2
28,gci33_Mmaturity,33,0.172947971,0.345895942,0.518843913,0.691791883,0.864739854,"Measures for assessing the level of cybersecurity development at a national level using tools such as the Cybersecurity Capacity Maturity Model, Cyber Readiness, or any other relevant assessment tools ",1.037687825,0,1,0,#26BDE2
29,gci34_Copstrategy,34,0.260414499,0.520828998,0.781243497,1.041657995,1.302072494,"National strategy addressing Child Online Protection, with associated current Child Online Protection initiatives ",1.562486993,0,0,0,#FCC30B
30,gci34_Copreporting,34,0.286897329,0.573794658,0.860691988,1.147589317,1.434486646,Government reporting mechanisms and capabilities at the national level deployed to help protect children online ,1.721383975,0,0,0,#FCC30B
31,gci41_AWmsme,41,0.079133125,0.15826625,0.237399376,0.316532501,0.395665626,Public awareness campaigns specifically targeting MSMEs ,0.474798751,0,1,0,#FD6925
32,gci41_AWprivate,41,0.070621714,0.141243427,0.211865141,0.282486854,0.353108568,Public awareness campaigns specifically targeting the private sector in general ,0.423730281,0,1,0,#FD6925
33,gci41_AWpublic,41,0.094315644,0.188631287,0.282946931,0.377262574,0.471578218,"Public awareness campaigns specifically targeting public sector agencies at local, municipal, and national levels, and public sector workers ",0.565893861,0,1,0,#FD6925
34,gci41_AWsociety,41,0.086494346,0.172988692,0.259483039,0.345977385,0.432471731,Public awareness campaigns specifically targeting civil society ,0.518966077,0,1,0,#FD6925
35,gci41_AWgeneral,41,0.131811863,0.263623725,0.395435588,0.527247451,0.659059313,Public awareness campaigns targeting the population in general ,0.790871176,0,1,0,#FD6925
36,gci41_AWelderly,41,0.05612931,0.112258619,0.168387929,0.224517239,0.280646548,Public awareness campaigns specifically targeting older persons (elderly) ,0.336775858,0,1,0,#FD6925
37,gci41_AWdisability,41,0.047847936,0.095695872,0.143543809,0.191391745,0.239239681,Public awareness campaigns specifically targeting persons with specific needs including persons with disabilities ,0.287087617,0,1,0,#FD6925
38,gci41_AWcop,41,0.067631218,0.135262435,0.202893653,0.27052487,0.338156088,"Public awareness campaigns specifically targeting parents, educators, and children as part of Child Online Protection (COP) efforts ",0.405787305,0,1,0,#FD6925
39,gci41_AWchildren,41,0.079133125,0.15826625,0.237399376,0.316532501,0.395665626,Public awareness campaigns specifically targeting children as part of Child Online Protection (COP) efforts ,0.474798751,0,1,0,#FD6925
40,gci42_Tprofessional,42,0.230730073,0.461460146,0.692190219,0.922920291,1.153650364,Develop or support cybersecurity training courses for cybersecurity professionals ,1.384380437,0,1,0,#BF8B2E
41,gci42_Tacreditation,42,0.1868,0.3736,0.5604,0.7472,0.934,Domestically or internationally recognized accreditation programs for cybersecurity professionals ,1.1208,0,1,0,#BF8B2E
42,gci42_Tsector,42,0.185050572,0.370101145,0.555151717,0.740202289,0.925252862,National sector-specific cybersecurity educational programs/trainings for professionals ,1.110303434,0,1,0,#BF8B2E
43,gci43_Cprimary,43,0.148545265,0.297090531,0.445635796,0.594181061,0.742726327,Develop or support any cybersecurity educational programs included as part of academic curricula in primary education ,0.891271592,0,1,0,#3F7E44
44,gci43_Csecondary,43,0.170208117,0.340416233,0.51062435,0.680832466,0.851040583,Develop or support any cybersecurity educational programs included as part of academic curricula in secondary education ,1.021248699,0,1,0,#3F7E44
45,gci43_Chigher,43,0.320816511,0.641633021,0.962449532,1.283266042,1.604082553,Develop or support any cybersecurity educational programs included as part of academic curricula in higher education ,1.924899063,0,1,0,#3F7E44
46,gci44_Rndprivate,44,0.116086577,0.232173153,0.34825973,0.464346306,0.580432883,Private sector actors carry out cybersecurity-related R&D activities ,0.696519459,0,1,0,#0A97D9
47,gci44_Rndpublic,44,0.123435727,0.246871453,0.37030718,0.493742907,0.617178633,National public sector actors carry out cybersecurity-related R&D activities ,0.74061436,0,1,0,#0A97D9
