origin,destination,weight
gci11_Lonline,gci11_Lforgery,-0.5004717722095497
gci11_Lonline,gci12_Rprivacy,-0.5000000000000004
gci11_Lonline,gci12_RAuditre,-0.5001215017603805
gci11_Lonline,gci12_Rstandard,-0.5000000000000001
gci11_Lonline,gci12_Rsign,-0.5000000000000001
gci11_Lonline,gci12_Rciip,-0.5001328197617577
gci11_Lonline,gci12_Rcop,0.500130667710273
gci11_Lonline,gci21_Nactivity,0.5000000000000001
gci11_Lonline,gci21_Nfirst,0.500000000000002
gci11_Lonline,gci21_NregCisrt,0.5000000000000001
gci11_Lonline,gci22_Scsirt,-0.5001433554714987
gci11_Lonline,gci22_Sactivity,-0.5001067046051372
gci11_Lonline,gci31_Npriority,-0.5000000000000003
gci11_Lonline,gci32_Aciip,-0.5000000000000197
gci11_Lonline,gci32_Acop,-0.5
gci11_Lonline,gci33_Maudit,-0.5001892625018238
gci11_Lonline,gci33_Mmaturity,-0.5000000000000001
gci11_Lonline,gci34_Copstrategy,-0.5
gci11_Lonline,gci41_AWprivate,0.5
gci11_Lonline,gci41_AWsociety,-0.5003406380980134
gci11_Lonline,gci41_AWelderly,-0.5013495257523517
gci11_Lonline,gci42_Tprofessional,0.500208058804284
gci11_Lonline,gci42_Tacreditation,0.5000894694456272
gci11_Lonline,gci42_Tsector,0.5000000000000003
gci11_Lonline,gci43_Cprimary,0.5002718622408271
gci11_Lonline,gci43_Chigher,-0.5000000000000001
gci11_Lonline,gci44_Rndprivate,-0.5003039205535859
gci11_Lonline,gci45_Dindustry,-0.5000000000000003
gci11_Lonline,gci45_Dassociation,-0.5000000000000003
gci11_Lonline,gci46_Icapacitydev,-0.5
gci11_Lonline,gci46_Iindustry,-0.5004839489358565
gci11_Lonline,gci51_Bcountry,0.5007010981193428
gci11_Lonline,gci51_Bregintl,-0.5000000000000003
gci11_Lonline,gci52_Minfosharing,-0.5002382654171631
gci11_Lonline,gci52_Mcapacitydev,-0.5013351116323446
gci11_Lonline,gci53_Mlat,0.5006603563685115
gci11_Lonline,gci54_PPPdomestic,-0.5000000000000007
gci11_Lonline,gci55_Coordination,-0.5000000000000003
gci11_Lforgery,gci41_AWsociety,-0.5000772858729093
